id;data_of_create;is_name;name;path_file;price;brand_id;type_id
1500;1636242248348;f;Стиральная машина Electrolux EW6T4R262;https://holod.ru/pics/140x150/24/617824.jpg;42490;163;6
185;1636240430146;f;Смартфон Apple IPHONE 13 STARLIGHT 256GB сияющая звезда (MLP43RU/A);https://holod.ru/pics/140x150/85/774085.jpg;94990;55;2
186;1636240430159;f;Смартфон Apple IPHONE 13 RED 256GB красный (MLP63RU/A);https://holod.ru/pics/140x150/95/774095.jpg;94990;55;2
187;1636240430189;f;Смартфон Apple IPHONE 13 MIDNIGHT 256GB тёмная ночь (MLP23RU/A);https://holod.ru/pics/140x150/81/774081.jpg;94990;55;2
1501;1636242248358;f;Стиральная машина Electrolux EW6S4R 06 BX;https://holod.ru/pics/140x150/47/570847.jpg;3199;163;6
189;1636240441132;f;Смартфон ASUS Zenfone 8 ZS590KS-2A062RU 8/256Gb (90AI0061-M00680) Black;https://holod.ru/pics/140x150/35/778935.jpg;60599;56;2
190;1636240441143;f;Смартфон ASUS Zenfone 8 Flip ZS672KS 256Gb 8Gb черный;https:/img/yandex/express-nameplate-pict.png;62199;56;2
191;1636240441153;f;Смартфон ASUS Zenfone 8 ZS590KS 128Gb 8Gb серебристый;https://holod.ru/pics/140x150/57/750657.jpg;56991;56;2
192;1636240441164;f;Смартфон ASUS Zenfone 8 ZS590KS 128Gb 8Gb черный;https:/img/yandex/express-nameplate-pict.png;56991;56;2
193;1636240441174;f;Смартфон ASUS Zenfone 8 Flip ZS672KS 256Gb 8Gb серебристый;https://holod.ru/pics/140x150/59/750659.jpg;61399;56;2
194;1636240441184;f;Смартфон ASUS Zenfone 8 ZS590KS 256Gb 16Gb серебристый;https:/img/yandex/express-nameplate-pict.png;64299;56;2
195;1636240441193;f;Смартфон ASUS Zenfone 8 ZS590KS 256Gb 16Gb черный;https://holod.ru/pics/140x150/61/750661.jpg;64591;56;2
196;1636240441204;f;Смартфон ASUS Zenfone 2 ZE551ML-6G179RU (90AZ00A4-M01790) золотистый;https:/img/yandex/express-nameplate-pict.png;8990;56;2
197;1636240452184;f;Смартфон BQ (Bright&Quick) 6631G Surf Black;https://holod.ru/pics/140x150/99/757099.jpg;5790;57;2
1502;1636242248368;f;Стиральная машина Electrolux EW7T3R262;https://holod.ru/pics/140x150/32/617832.jpg;41199;163;6
198;1636240452194;f;Смартфон BQ (Bright&Quick) 5016G Choice Черный Графит;https:/img/yandex/express-nameplate-pict.png;4390;57;2
199;1636240452204;f;Смартфон BQ (Bright&Quick) 6022G Aura Black vibes;https://holod.ru/pics/140x150/29/689229.jpg;5299;57;2
200;1636240452213;f;Смартфон BQ (Bright&Quick) 6645L Element Deep Green;https://holod.ru/pics/140x150/71/765471.jpg;7990;57;2
201;1636240452223;f;Смартфон BQ (Bright&Quick) 5745L Clever Light Blue 2/32 Gb;https:/img/yandex/express-nameplate-pict.png;5299;57;2
