id;description;title;device_id
8479;148;Морозильной камеры (л) :;1228
8480;Таиланд;Страна-производитель:;1228
8481;199.2x91.7x77.9;Габариты (ВxШxГ) (см):;1229
8482;черный;Цвет:;1229
8483;600;Холодильника (л) :;1229
8484;422;Холодильной камеры (л) :;1229
8485;178;Морозильной камеры (л) :;1229
8486;Таиланд;Страна-производитель:;1229
8487;185x80x73.5;Габариты (ВxШxГ) (см):;1230
8488;бежевый;Цвет:;1230
8489;578;Холодильника (л) :;1230
8490;430;Холодильной камеры (л) :;1230
8491;148;Морозильной камеры (л) :;1230
8492;Таиланд;Страна-производитель:;1230
8493;187x86.5x74;Габариты (ВxШxГ) (см):;1231
8494;серебристое стекло;Цвет:;1231
8495;600;Холодильника (л) :;1231
8496;422;Холодильной камеры (л) :;1231
8497;178;Морозильной камеры (л) :;1231
8498;Таиланд;Страна-производитель:;1231
8499;187x82x74;Габариты (ВxШxГ) (см):;1232
8500;черный;Цвет:;1232
8501;556;Холодильника (л) :;1232
8502;394;Холодильной камеры (л) :;1232
8503;162;Морозильной камеры (л) :;1232
8504;Таиланд;Страна-производитель:;1232
8505;175x80x73.5;Габариты (ВxШxГ) (см):;1233
8506;черный;Цвет:;1233
8507;536;Холодильника (л) :;1233
8508;388;Холодильной камеры (л) :;1233
8509;148;Морозильной камеры (л) :;1233
8510;Таиланд;Страна-производитель:;1233
8511;176.5x55.4x60;Габариты (ВxШxГ) (см):;1234
8512;белый;Цвет:;1234
8513;265;Холодильника (л) :;1234
8514;195;Холодильной камеры (л) :;1234
8515;70;Морозильной камеры (л) :;1234
8516;Узбекистан;Страна-производитель:;1234
8517;187x59.5x66;Габариты (ВxШxГ) (см):;1235
8518;белый;Цвет:;1235
8519;330;Холодильника (л) :;1235
8520;232;Холодильной камеры (л) :;1235
8521;98;Морозильной камеры (л) :;1235
8522;Узбекистан;Страна-производитель:;1235
8523;190x70x63;Габариты (ВxШxГ) (см):;1236
8524;кремовый, фурнитура позолоченная;Цвет:;1236
8525;346;Холодильника (л) :;1236
8526;264;Холодильной камеры (л) :;1236
8527;82;Морозильной камеры (л) :;1236
8528;Италия;Страна-производитель:;1236
8529;180x60x64;Габариты (ВxШxГ) (см):;1237
8530;кремовый;Цвет:;1237
8531;304;Холодильника (л) :;1237
8532;229;Холодильной камеры (л) :;1237
8533;75;Морозильной камеры (л) :;1237
8534;Сербия;Страна-производитель:;1237
